Hectare,Count,X,Y
01A,11,1,1
01B,27,1,2
01C,12,1,3
01D,16,1,4
01E,8,1,5
01F,8,1,6
01G,7,1,7
01H,4,1,8
01I,4,1,9
02A,15,2,1
02B,17,2,2
02C,21,2,3
02D,8,2,4
02E,12,2,5
02F,17,2,6
02G,7,2,7
02H,6,2,8
02I,4,2,9
03A,11,3,1
03B,21,3,2
03C,4,3,3
03D,22,3,4
03E,17,3,5
03F,21,3,6
03G,6,3,7
03H,13,3,8
03I,13,3,9
04A,11,4,1
04B,11,4,2
04C,22,4,3
04D,18,4,4
04E,12,4,5
04F,4,4,6
04G,6,4,7
04H,6,4,8
04I,6,4,9
05A,9,5,1
05B,10,5,2
05C,20,5,3
05D,11,5,4
05E,16,5,5
05F,12,5,6
05G,6,5,7
05H,1,5,8
05I,8,5,9
06A,15,6,1
06B,9,6,2
06C,12,6,3
06D,10,6,4
06E,6,6,5
06F,7,6,6
06G,10,6,7
06H,5,6,8
06I,8,6,9
07A,5,7,1
07B,15,7,2
07C,9,7,3
07D,2,7,4
07E,11,7,5
07F,20,7,6
07G,16,7,7
07H,26,7,8
07I,8,7,9
08A,9,8,1
08B,18,8,2
08C,10,8,3
08D,12,8,4
08E,10,8,5
08F,8,8,6
08G,2,8,7
08H,15,8,8
08I,21,8,9
09A,16,9,1
09B,19,9,2
09C,10,9,3
09D,4,9,4
09E,7,9,5
09F,12,9,6
09G,10,9,7
09H,15,9,8
09I,16,9,9
10A,8,10,1
10B,9,10,2
10C,8,10,3
10D,6,10,4
10E,3,10,5
10F,15,10,6
10G,21,10,7
10H,8,10,8
10I,5,10,9
11A,5,11,1
11B,13,11,2
11C,1,11,3
11D,13,11,4
11E,11,11,5
11F,6,11,6
11G,3,11,7
11H,13,11,8
11I,9,11,9
12A,6,12,1
12B,3,12,2
12C,4,12,3
12D,5,12,4
12E,14,12,5
12F,21,12,6
12G,12,12,7
12H,8,12,8
12I,1,12,9
13A,9,13,1
13B,2,13,2
13C,9,13,3
13D,25,13,4
13E,24,13,5
13F,9,13,6
13G,4,13,7
13H,10,13,8
13I,1,13,9
14A,10,14,1
14B,11,14,2
14C,3,14,3
14D,32,14,4
14E,28,14,5
14F,15,14,6
14G,5,14,7
14H,12,14,8
14I,7,14,9
15A,3,15,1
15B,8,15,2
15C,8,15,3
15D,14,15,4
15E,15,15,5
15F,17,15,6
15G,18,15,7
15H,10,15,8
15I,13,15,9
16A,9,16,1
16B,4,16,2
16C,7,16,3
16D,19,16,4
16E,20,16,5
16F,9,16,6
16G,6,16,7
16H,6,16,8
16I,4,16,9
17A,4,17,1
17B,6,17,2
17C,5,17,3
17D,7,17,4
17E,14,17,5
17F,13,17,6
17G,5,17,7
17H,2,17,8
17I,5,17,9
18A,3,18,1
18B,0,18,2
18C,11,18,3
18D,5,18,4
18E,1,18,5
18F,4,18,6
18G,7,18,7
18H,5,18,8
18I,12,18,9
19A,6,19,1
19B,7,19,2
19C,8,19,3
19D,5,19,4
19E,5,19,5
19F,10,19,6
19G,3,19,7
19H,6,19,8
19I,0,19,9
20A,3,20,1
20B,13,20,2
20C,9,20,3
20D,3,20,4
20E,2,20,5
20F,17,20,6
20G,6,20,7
20H,0,20,8
20I,0,20,9
21A,9,21,1
21B,12,21,2
21C,6,21,3
21D,12,21,4
21E,5,21,5
21F,11,21,6
21G,11,21,7
21H,6,21,8
21I,0,21,9
22A,9,22,1
22B,12,22,2
22C,16,22,3
22D,7,22,4
22E,2,22,5
22F,15,22,6
22G,8,22,7
22H,4,22,8
22I,3,22,9
23A,5,23,1
23B,7,23,2
23C,5,23,3
23D,1,23,4
23E,1,23,5
23F,5,23,6
23G,0,23,7
23H,1,23,8
23I,4,23,9
24A,7,24,1
24B,1,24,2
24C,0,24,3
24D,0,24,4
24E,0,24,5
24F,0,24,6
24G,0,24,7
24H,0,24,8
24I,1,24,9
25A,6,25,1
25B,2,25,2
25C,0,25,3
25D,0,25,4
25E,0,25,5
25F,0,25,6
25G,0,25,7
25H,0,25,8
25I,11,25,9
26A,8,26,1
26B,1,26,2
26C,0,26,3
26D,0,26,4
26E,0,26,5
26F,0,26,6
26G,0,26,7
26H,0,26,8
26I,8,26,9
27A,3,27,1
27B,2,27,2
27C,0,27,3
27D,0,27,4
27E,0,27,5
27F,0,27,6
27G,0,27,7
27H,0,27,8
27I,9,27,9
28A,6,28,1
28B,3,28,2
28C,4,28,3
28D,8,28,4
28E,0,28,5
28F,0,28,6
28G,0,28,7
28H,0,28,8
28I,2,28,9
29A,4,29,1
29B,7,29,2
29C,8,29,3
29D,8,29,4
29E,0,29,5
29F,0,29,6
29G,0,29,7
29H,2,29,8
29I,1,29,9
30A,5,30,1
30B,21,30,2
30C,3,30,3
30D,2,30,4
30E,4,30,5
30F,1,30,6
30G,0,30,7
30H,4,30,8
30I,7,30,9
31A,9,31,1
31B,7,31,2
31C,4,31,3
31D,11,31,4
31E,10,31,5
31F,6,31,6
31G,1,31,7
31H,5,31,8
31I,4,31,9
32A,14,32,1
32B,10,32,2
32C,19,32,3
32D,15,32,4
32E,30,32,5
32F,15,32,6
32G,5,32,7
32H,4,32,8
32I,9,32,9
33A,5,33,1
33B,18,33,2
33C,6,33,3
33D,12,33,4
33E,22,33,5
33F,8,33,6
33G,5,33,7
33H,2,33,8
33I,14,33,9
34A,8,34,1
34B,4,34,2
34C,6,34,3
34D,6,34,4
34E,2,34,5
34F,2,34,6
34G,2,34,7
34H,8,34,8
34I,11,34,9
35A,20,35,1
35B,11,35,2
35C,14,35,3
35D,11,35,4
35E,11,35,5
35F,4,35,6
35G,3,35,7
35H,2,35,8
35I,3,35,9
36A,11,36,1
36B,9,36,2
36C,10,36,3
36D,3,36,4
36E,5,36,5
36F,12,36,6
36G,2,36,7
36H,4,36,8
36I,21,36,9
37A,3,37,1
37B,11,37,2
37C,9,37,3
37D,10,37,4
37E,14,37,5
37F,4,37,6
37G,15,37,7
37H,10,37,8
37I,7,37,9
38A,10,38,1
38B,7,38,2
38C,21,38,3
38D,10,38,4
38E,17,38,5
38F,12,38,6
38G,11,38,7
38H,2,38,8
38I,6,38,9
39A,4,39,1
39B,7,39,2
39C,8,39,3
39D,10,39,4
39E,7,39,5
39F,9,39,6
39G,9,39,7
39H,7,39,8
39I,4,39,9
40A,10,40,1
40B,17,40,2
40C,15,40,3
40D,14,40,4
40E,7,40,5
40F,3,40,6
40G,8,40,7
40H,2,40,8
40I,3,40,9
41A,7,41,1
41B,16,41,2
41C,11,41,3
41D,10,41,4
41E,11,41,5
41F,2,41,6
41G,2,41,7
41H,0,41,8
41I,3,41,9
42A,2,42,1
42B,2,42,2
42C,10,42,3
42D,7,42,4
42E,6,42,5
42F,6,42,6
42G,6,42,7
42H,7,42,8
42I,3,42,9
